FaixaEtaria,2007/Ago,2007/Set,2007/Out,2007/Nov,2007/Dez,2008/Jan,2008/Fev,2008/Mar,2008/Abr,2008/Mai,2008/Jun,2008/Jul,2008/Ago,2008/Set,2008/Out,2008/Nov,2008/Dez,2009/Jan,2009/Fev,2009/Mar,2009/Abr,2009/Mai,2009/Jun,2009/Jul,2009/Ago,2009/Set,2009/Out,2009/Nov,2009/Dez,2010/Jan,2010/Fev,2010/Mar,2010/Abr,2010/Mai,2010/Jun,2010/Jul,2010/Ago,2010/Set,2010/Out,2010/Nov,2010/Dez,2011/Jan,2011/Fev,2011/Mar,2011/Abr,2011/Mai,2011/Jun,2011/Jul,2011/Ago,2011/Set,2011/Out,2011/Nov,2011/Dez,2012/Jan,2012/Fev,2012/Mar,2012/Abr,2012/Mai,2012/Jun,2012/Jul,2012/Ago,2012/Set,2012/Out,2012/Nov,2012/Dez,2013/Jan,2013/Fev,2013/Mar,2013/Abr,2013/Mai,2013/Jun,2013/Jul,2013/Ago,2013/Set,2013/Out,2013/Nov,2013/Dez,2014/Jan,2014/Fev,2014/Mar,2014/Abr,2014/Mai,2014/Jun,2014/Jul,2014/Ago,2014/Set,2014/Out,2014/Nov,2014/Dez,2015/Jan,2015/Fev,2015/Mar,2015/Abr,2015/Mai,2015/Jun,2015/Jul,2015/Ago,2015/Set,2015/Out,2015/Nov,2015/Dez,2016/Jan,2016/Fev,2016/Mar,2016/Abr,2016/Mai,2016/Jun,2016/Jul,2016/Ago,2016/Set,2016/Out,2016/Nov,2016/Dez,2017/Jan,2017/Fev,2017/Mar,2017/Abr,2017/Mai,2017/Jun,2017/Jul,2017/Ago,2017/Set,2017/Out,2017/Nov,2017/Dez,2018/Jan,2018/Fev,2018/Mar,2018/Abr,2018/Mai,2018/Jun,2018/Jul,2018/Ago,2018/Set,2018/Out,2018/Nov,2018/Dez,2019/Jan,2019/Fev,2019/Mar,2019/Abr,2019/Mai,2019/Jun,2019/Jul,2019/Ago,2019/Set,2019/Out,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,2020/Mai,2020/Jun,2020/Jul,2020/Ago,2020/Set,2020/Out,2020/Nov,2020/Dez,2021/Jan,2021/Fev,2021/Mar,2021/Abr,2021/Mai
Menor 01 ano,1,1,6,20,60,108,119,193,270,248,149,159,129,150,223,139,144,85,77,117,167,155,153,161,153,116,101,115,77,77,98,94,107,148,127,142,107,182,248,198,113,64,44,48,105,99,65,89,92,106,145,152,110,80,36,38,53,65,60,79,83,120,154,112,87,43,42,50,57,80,147,127,109,128,178,179,133,79,36,25,44,61,84,75,64,84,96,89,77,53,21,37,48,52,33,60,49,69,75,65,48,35,34,36,39,31,37,57,66,65,62,62,63,56,31,32,33,45,43,56,55,52,71,57,43,24,19,38,36,35,35,46,49,39,47,28,30,27,24,69,84,45,34,40,33,21,38,26,19,23,22,20,11,9,8,7,7,8,16,10,14,13,22,12,13,5
01 a 04 anos,2,2,8,24,77,140,142,262,321,302,189,168,242,282,372,329,274,180,125,219,250,209,218,252,241,216,223,250,137,141,117,162,164,200,206,255,352,629,684,532,347,150,89,114,122,132,114,167,251,297,399,366,336,168,90,75,99,92,121,143,209,401,433,383,276,114,60,82,98,137,217,206,199,407,527,444,409,216,72,60,78,84,124,116,127,205,278,216,220,103,43,60,71,44,75,67,94,122,120,88,86,44,42,52,37,53,57,69,69,87,131,89,83,49,41,58,44,45,44,54,79,80,80,81,61,43,39,56,43,58,49,50,33,41,45,49,49,46,30,64,78,57,36,39,26,28,25,37,29,25,40,24,6,6,6,10,11,10,10,7,10,10,10,13,18,13
05 a 09 anos,0,4,2,8,36,47,43,85,74,87,56,55,58,84,108,98,80,50,44,56,68,67,72,88,93,86,63,89,52,64,43,60,47,66,57,77,90,142,176,135,121,60,28,34,38,42,51,65,75,123,136,105,121,60,30,34,27,46,34,49,50,89,131,92,75,50,33,26,33,56,69,69,64,140,169,126,110,83,40,41,40,58,43,49,55,76,124,88,81,55,19,33,14,42,36,58,50,65,83,60,39,38,31,30,24,33,25,60,63,84,114,85,75,47,26,31,37,32,39,40,69,83,102,90,55,42,27,24,24,31,19,41,36,34,36,39,38,34,26,37,27,18,31,20,37,38,27,28,26,21,25,19,5,8,13,6,7,14,17,10,11,11,10,10,6,2
10 a 14 anos,0,0,3,3,11,23,22,28,27,37,29,26,27,39,37,31,30,21,18,35,28,27,43,32,69,34,42,29,26,29,20,29,27,22,24,40,40,47,54,54,45,26,20,31,20,22,30,36,54,53,61,47,43,45,22,25,21,23,27,24,29,45,40,40,33,35,22,28,25,18,28,29,30,53,55,57,37,47,26,27,31,37,18,22,31,44,45,42,40,23,18,15,15,19,17,20,27,34,36,30,21,16,17,15,18,11,24,24,19,26,41,34,29,29,14,18,21,21,21,27,32,30,50,49,26,30,22,16,15,23,26,30,22,23,29,32,17,27,22,20,23,26,28,25,30,39,35,26,10,23,18,15,10,8,6,11,17,21,10,11,14,20,18,9,12,4
15 a 19 anos,0,1,0,5,12,22,25,20,18,19,22,18,15,22,25,14,16,13,17,16,22,31,19,46,47,27,21,25,28,10,18,26,16,17,9,21,23,21,27,21,29,16,20,16,11,17,16,17,13,19,24,24,28,30,17,21,19,16,10,13,13,22,22,21,9,16,10,12,20,19,21,23,29,21,36,28,21,20,7,10,17,20,21,23,14,28,22,29,20,13,13,8,15,13,14,16,18,24,12,26,11,11,8,10,17,15,14,13,14,15,16,12,15,15,11,18,11,16,16,15,23,19,19,15,15,21,11,7,12,11,12,18,12,9,11,6,13,11,13,14,15,14,7,11,16,23,13,12,17,18,9,8,5,3,7,7,9,10,6,6,10,2,6,4,3,1
20 a 29 anos,0,1,3,9,14,32,54,51,52,56,43,42,43,56,38,28,45,34,34,53,66,63,45,84,82,57,56,54,41,33,45,46,37,48,32,35,60,51,45,60,50,38,37,33,27,28,32,31,35,40,24,35,37,39,30,37,18,13,33,25,22,30,46,28,28,26,19,39,27,33,39,31,33,42,44,35,31,23,28,18,33,31,29,36,16,29,26,27,25,29,20,28,18,22,26,29,25,28,40,19,28,20,21,23,24,30,19,27,23,26,39,31,29,29,25,33,16,26,25,13,29,22,34,23,31,44,22,31,20,29,23,21,27,29,30,39,23,14,25,25,12,15,23,30,29,20,30,30,17,24,24,27,16,19,15,19,18,19,14,12,7,13,9,8,10,5
30 a 39 anos,0,1,3,5,25,40,59,56,58,54,37,47,42,56,46,35,50,37,40,48,43,38,46,68,78,58,46,52,42,32,46,36,43,28,33,33,45,33,52,41,32,43,29,33,35,39,38,31,28,41,27,34,33,31,20,34,30,31,22,39,32,33,39,36,25,42,20,30,28,37,41,42,48,25,45,29,19,27,29,34,17,30,21,26,31,33,38,27,31,26,21,29,26,23,29,23,26,23,24,15,28,29,18,31,22,28,21,20,27,23,24,20,27,35,31,29,23,25,30,30,22,27,34,30,28,32,25,41,29,43,22,37,25,28,27,24,17,26,24,29,21,29,30,33,32,27,30,41,28,39,31,24,15,21,19,16,16,17,22,18,20,15,18,17,9,10
40 a 49 anos,0,0,3,3,28,44,75,64,64,79,45,33,50,73,56,57,48,50,54,52,65,61,76,79,78,62,50,39,59,49,42,36,43,37,39,33,53,48,50,59,51,41,43,30,42,40,33,35,29,29,28,33,25,37,33,48,34,29,31,20,28,36,35,30,24,33,38,31,23,42,52,45,32,36,29,40,31,34,23,29,25,32,30,36,30,37,26,24,31,32,28,24,28,28,30,36,29,31,27,29,37,35,19,18,33,28,30,24,25,20,37,33,22,35,31,42,25,27,31,41,26,35,25,27,39,41,33,34,29,34,30,32,23,40,34,23,43,34,26,22,25,41,34,42,35,41,31,36,32,30,30,37,33,17,26,31,26,22,23,16,21,16,12,17,24,4
50 a 59 anos,0,2,4,9,35,73,80,89,77,84,69,53,55,92,78,55,56,61,72,78,70,67,83,83,85,58,55,59,47,39,47,55,55,56,46,57,57,63,50,43,49,68,63,44,60,46,37,49,34,42,29,35,34,37,39,37,36,49,43,39,45,48,53,46,36,41,54,46,49,44,93,68,57,34,48,42,35,36,31,28,41,40,30,46,38,47,42,34,24,45,32,43,37,45,37,42,31,45,53,35,38,50,37,45,37,33,46,54,46,62,43,40,40,46,44,58,39,62,49,42,56,39,44,44,40,61,36,55,54,49,46,53,54,44,46,48,33,44,31,47,59,53,43,54,48,54,45,37,38,47,57,35,28,43,32,32,46,36,27,27,28,30,29,20,26,14
60 a 69 anos,0,4,4,10,31,69,109,112,97,98,76,56,78,106,87,58,81,64,66,97,71,80,89,81,78,50,61,65,55,52,42,43,59,51,41,57,55,61,48,63,60,74,63,64,53,58,48,63,49,42,42,42,40,61,42,61,47,47,46,42,53,43,48,48,34,42,46,52,53,41,92,72,76,46,45,34,38,43,37,38,45,42,39,43,52,57,43,40,32,51,33,47,47,38,61,53,50,53,46,69,56,46,55,53,51,58,53,61,55,49,46,61,55,44,48,73,53,63,46,43,70,63,46,56,61,62,53,53,54,68,75,64,58,76,62,50,55,59,59,51,60,67,77,58,73,69,70,61,70,49,50,54,36,48,49,40,46,39,44,40,41,43,29,36,22,17
