,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21
N_OBITOS,64,38,57,37,57,54,66,66,58,53,34,56,62,39,49,39,63,77,55,60,65,57,49,67,60,46,52,56,73,56,51,61,77,53,60,59,64,59,59,42,49,55,60,61,55,48,61,64,54,39,62,46,48,34,40,31,38,37,45,48,47,26,36,37,46,54,36,44,33,38,33,47,39,38,48,56,61,33,38,45,46,53,53,45,50,53,61,73,86,43,30,24,53,45,54,72,63,40,33,67,58
Pac_dia,1991,1803,1949,1934,1949,1925,1987,1974,1869,1930,1778,1867,1892,1650,1878,1800,1944,1798,2000,2003,1897,1885,1827,1825,1839,1638,1792,1847,1943,1809,1882,1877,1944,1879,1889,1855,1960,1799,1899,1930,1981,1912,2009,1918,1859,2019,1819,1753,1907,1757,1960,1752,1839,1889,1965,1961,1878,1930,1788,1906,1797,1547,1848,1872,1912,1870,1907,1865,1661,1808,1776,1703,1843,1626,1778,1941,1826,1759,1774,1767,1722,1853,1761,1872,1911,1795,1815,1691,1853,959,1081,1246,1438,1458,1448,1821,1587,1277,1516,1831,1777
N_ERC,0,2,1,4,2,3,4,5,4,8,8,8,3,1,7,2,10,9,16,9,8,15,10,22,10,14,11,11,19,20,19,21,14,10,19,20,17,14,10,11,21,8,5,4,6,15,6,6,14,6,5,5,9,6,1,3,8,2,5,6,11,7,4,1,8,6,9,8,9,9,7,11,8,13,15,12,22,17,12,13,12,8,7,10,11,12,11,10,20,2,7,9,6,14,13,15,14,13,13,16,26
N_PaR_carba,6,4,7,12,6,8,8,6,11,6,3,8,4,12,9,12,7,7,8,10,12,6,3,5,12,3,10,13,16,13,21,8,9,12,11,5,9,13,10,12,12,12,10,4,6,9,6,3,13,5,14,6,8,5,8,9,2,8,5,10,12,9,11,5,11,11,10,7,4,2,0,0,1,4,1,1,1,4,4,2,2,4,3,5,8,2,6,3,3,3,3,3,5,4,1,3,0,2,5,5,7
N_ESBL,6,11,16,11,4,10,5,5,6,4,12,8,8,9,11,8,3,10,9,16,7,6,10,8,8,14,14,12,8,8,8,13,8,13,12,13,15,11,16,14,19,8,23,4,12,10,10,6,18,12,10,14,8,12,24,6,10,18,8,6,16,6,12,17,22,10,20,19,10,22,14,12,27,11,9,10,14,8,8,16,6,4,5,7,16,7,7,3,5,1,0,2,2,4,3,2,1,3,1,4,3
Entradas,182,209,249,253,338,229,270,286,234,258,223,249,254,217,232,256,275,272,221,243,255,284,272,249,251,211,237,249,278,227,239,262,245,228,251,290,265,268,282,264,303,305,307,320,259,246,281,291,281,222,268,246,277,263,255,268,242,277,258,268,295,222,280,276,246,281,231,226,242,259,256,267,258,265,259,259,295,251,262,270,244,296,293,269,300,277,267,262,194,185,213,220,237,276,298,278,236,227,210,186,256
Entradas_COVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,178,194,87,52,55,46,38,94,156,134,62,62,74,99
Pac_dia_COVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1261,1853,607,163,231,252,274,468,1194,1102,323,419,767,742
Mero,57.92,39.18,42.93,32.37,42.41,47.12,45.27,45.31,41.99,29.57,25.90,32.69,38.98,37.14,39.78,39.64,39.72,38.36,44.04,32.80,63.78,40.94,56.80,48.03,48.12,47.54,41.35,48.77,55.71,40.66,44.58,45.68,42.67,43.43,56.67,46.42,48.19,46.83,43.79,36.19,39.98,42.70,49.78,52.11,50.30,69.39,57.97,51.31,56.84,47.24,53.70,39.18,51.58,42.01,25.98,23.15,31.95,30.23,19.66,31.79,29.94,21.14,12.69,15.36,13.96,14.84,13.37,9.36,7.86,7.33,9.18,7.25,6.67,13.16,8.27,9.22,13.47,10.77,4.09,4.61,13.47,6.99,6.81,9.94,5.72,11.03,10.72,15.55,15.14,22.05,4.49,12.36,8.52,13.65,18.09,8.68,9.70,16.19,25.16,42.33,21.86
PoliB,0,0,0,0,0,0,0,0,0,0,0,0,11.43,12.85,12.28,17.30,20.59,16.30,20.75,28.01,19.77,13.79,19.63,18.41,20.32,16.12,12.00,14.37,16.07,15.31,18.40,19.91,17.58,17.83,14.43,6.86,11.50,11.56,15.80,16.10,11.54,15.97,15.71,12.34,12.96,34.84,10.43,7.26,7.66,18.17,12.87,9.93,18.62,17.36,11.67,10.98,14.16,9.81,9.60,12.50,19.16,13.10,13.28,15.92,14.64,20.84,14.46,17.02,12.12,13.07,11.34,11.35,14.45,10.56,7.63,9.60,10.57,12.45,10.17,11.02,21.78,8.54,12.47,13.25,7.34,13.65,13.55,7.41,21.32,20.26,15.97,8.77,12.96,15.66,16.18,9.68,15.06,17.18,13.57,11.01,5.36
Zerbaxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,4.18,3.32,6.48,6.05,5.10,5.63,4.05,9.35,3.56,3.75,1.21,2.77,4.15,1.48,1.99,1.82,0.78,1.75,0.22,0.00,0.00,0.00,2.08,0.00,2.12,7.68,1.10,0.00,0,0,0,0,0
Torgena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1.72,1.59,1.27,6.23,3.68,0.20,1.60,1.23,1.69,3.07,0.53,1.02,0.44,1.22,2.89,2.96,3.00,1.43,0.87,0.17,2.86,1.40,0.43,0.32,0.00,2.83,3.04,1.45
