"FaixaEtaria","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 a 04 anos",17517709,17335042,16993784,16602745,16231822,15931753,15658361,15437065,15245451,15066823,14858280,14697435,14624303,14567171,14570073,14677162,14715115,14720779,14787545,14798320,14730300
"05 a 09 anos",17182449,17240180,17348563,17459652,17497180,17415719,17240690,16907184,16523379,16159147,15865195,15600508,15387511,15203149,15029649,14824277,14664925,14593304,14537809,14542108,14650284
"10 a 14 anos",17776905,17578821,17394779,17245834,17162489,17160789,17219186,17328134,17439772,17477937,17397304,17216843,16880180,16495330,16131996,15840871,15577225,15365245,15182038,15009684,14805480
"15 a 19 anos",18121097,18218034,18222851,18147637,18011967,17830254,17633656,17450923,17303033,17220430,17219086,17238401,17315598,17402807,17424096,17334102,17155622,16821645,16439864,16079489,15790890
"20 a 29 anos",30450619,31119651,31822972,32524325,33170415,33726208,34178452,34509390,34720202,34818244,34810889,34820713,34750161,34632091,34516125,34432615,34379198,34365192,34363370,34324755,34219132
"30 a 39 anos",25670423,26023493,26338610,26642427,26974869,27361675,27798285,28282338,28816187,29400350,30031057,30625845,31257133,31889435,32470599,32966474,33379587,33709756,33958655,34130685,34231979
"40 a 49 anos",19575334,20227029,20877322,21518173,22138347,22730439,23293103,23826105,24322870,24774029,25176609,25529486,25840351,26135105,26452547,26817873,27225231,27671873,28160337,28689608,29255503
"50 a 59 anos",12703863,13220238,13772633,14352807,14948952,15553688,16165592,16780951,17400894,18028502,18664337,19254190,19845719,20431141,20999634,21543966,22065243,22566083,23040015,23477431,23875072
"60 a 69 anos",8314778,8541876,8776570,9024111,9292255,9587186,9908501,10255214,10632862,11047867,11502729,11954574,12437718,12945226,13467240,13997469,14534647,15075631,15621189,16173578,16732965
"70 a 79 anos",4941936,5097838,5185146,5259129,5345729,5460573,5604760,5780282,5981826,6186373,6390032,6578150,6772191,6976903,7199517,7445279,7713039,8001856,8314765,8654914,9023041
"80 anos e mais",1510613,1606444,1766025,1931504,2091018,2232859,2361024,2480682,2623798,2801203,2975164,3087587,3204069,3325830,3456065,3595595,3746755,3913377,4089313,4266553,4441046
"Total",173765726,176208646,178499255,180708344,182865043,184991143,187061610,189038268,191010274,192980905,194890682,196603732,198314934,200004188,201717541,203475683,205156587,206804741,208494900,210147125,211755692
