"","Menor 01 ano","01 a 04 anos","05 a 09 anos","10 a 14 anos","15 a 19 anos","20 a 29 anos","30 a 39 anos","40 a 49 anos","50 a 59 anos","60 a 69 anos","70 a 79 anos","80 anos e mais"
"X2007.Ago",1,2,0,0,0,0,0,0,0,0,0,0
"X2007.Set",1,2,4,0,1,1,1,0,2,4,2,2
"X2007.Out",6,8,2,3,0,3,3,3,4,4,2,3
"X2007.Nov",20,24,8,3,5,9,5,3,9,10,13,11
"X2007.Dez",60,77,36,11,12,14,25,28,35,31,36,47
"X2008.Jan",108,140,47,23,22,32,40,44,73,69,104,129
"X2008.Fev",119,142,43,22,25,54,59,75,80,109,120,139
"X2008.Mar",193,262,85,28,20,51,56,64,89,112,130,153
"X2008.Abr",270,321,74,27,18,52,58,64,77,97,135,131
"X2008.Mai",248,302,87,37,19,56,54,79,84,98,114,138
"X2008.Jun",149,189,56,29,22,43,37,45,69,76,74,70
"X2008.Jul",159,168,55,26,18,42,47,33,53,56,73,60
"X2008.Ago",129,242,58,27,15,43,42,50,55,78,94,104
"X2008.Set",150,282,84,39,22,56,56,73,92,106,135,123
"X2008.Out",223,372,108,37,25,38,46,56,78,87,117,106
"X2008.Nov",139,329,98,31,14,28,35,57,55,58,81,110
"X2008.Dez",144,274,80,30,16,45,50,48,56,81,96,102
"X2009.Jan",85,180,50,21,13,34,37,50,61,64,92,97
"X2009.Fev",77,125,44,18,17,34,40,54,72,66,75,92
"X2009.Mar",117,219,56,35,16,53,48,52,78,97,83,96
"X2009.Abr",167,250,68,28,22,66,43,65,70,71,83,93
"X2009.Mai",155,209,67,27,31,63,38,61,67,80,82,92
"X2009.Jun",153,218,72,43,19,45,46,76,83,89,97,99
"X2009.Jul",161,252,88,32,46,84,68,79,83,81,89,84
"X2009.Ago",153,241,93,69,47,82,78,78,85,78,76,61
"X2009.Set",116,216,86,34,27,57,58,62,58,50,74,59
"X2009.Out",101,223,63,42,21,56,46,50,55,61,73,77
"X2009.Nov",115,250,89,29,25,54,52,39,59,65,71,67
"X2009.Dez",77,137,52,26,28,41,42,59,47,55,53,51
"X2010.Jan",77,141,64,29,10,33,32,49,39,52,69,52
"X2010.Fev",98,117,43,20,18,45,46,42,47,42,63,55
"X2010.Mar",94,162,60,29,26,46,36,36,55,43,61,87
"X2010.Abr",107,164,47,27,16,37,43,43,55,59,82,67
"X2010.Mai",148,200,66,22,17,48,28,37,56,51,67,85
"X2010.Jun",127,206,57,24,9,32,33,39,46,41,53,90
"X2010.Jul",142,255,77,40,21,35,33,33,57,57,73,46
"X2010.Ago",107,352,90,40,23,60,45,53,57,55,81,64
"X2010.Set",182,629,142,47,21,51,33,48,63,61,51,81
"X2010.Out",248,684,176,54,27,45,52,50,50,48,54,70
"X2010.Nov",198,532,135,54,21,60,41,59,43,63,70,77
"X2010.Dez",113,347,121,45,29,50,32,51,49,60,90,63
"X2011.Jan",64,150,60,26,16,38,43,41,68,74,71,91
"X2011.Fev",44,89,28,20,20,37,29,43,63,63,69,80
"X2011.Mar",48,114,34,31,16,33,33,30,44,64,67,76
"X2011.Abr",105,122,38,20,11,27,35,42,60,53,79,75
"X2011.Mai",99,132,42,22,17,28,39,40,46,58,60,60
"X2011.Jun",65,114,51,30,16,32,38,33,37,48,64,60
"X2011.Jul",89,167,65,36,17,31,31,35,49,63,65,61
"X2011.Ago",92,251,75,54,13,35,28,29,34,49,55,38
"X2011.Set",106,297,123,53,19,40,41,29,42,42,52,41
"X2011.Out",145,399,136,61,24,24,27,28,29,42,47,50
"X2011.Nov",152,366,105,47,24,35,34,33,35,42,43,35
"X2011.Dez",110,336,121,43,28,37,33,25,34,40,51,46
"X2012.Jan",80,168,60,45,30,39,31,37,37,61,57,47
"X2012.Fev",36,90,30,22,17,30,20,33,39,42,33,50
"X2012.Mar",38,75,34,25,21,37,34,48,37,61,60,50
"X2012.Abr",53,99,27,21,19,18,30,34,36,47,46,39
"X2012.Mai",65,92,46,23,16,13,31,29,49,47,42,56
"X2012.Jun",60,121,34,27,10,33,22,31,43,46,30,45
"X2012.Jul",79,143,49,24,13,25,39,20,39,42,53,49
"X2012.Ago",83,209,50,29,13,22,32,28,45,53,51,55
"X2012.Set",120,401,89,45,22,30,33,36,48,43,61,50
"X2012.Out",154,433,131,40,22,46,39,35,53,48,65,47
"X2012.Nov",112,383,92,40,21,28,36,30,46,48,48,42
"X2012.Dez",87,276,75,33,9,28,25,24,36,34,48,33
"X2013.Jan",43,114,50,35,16,26,42,33,41,42,48,50
"X2013.Fev",42,60,33,22,10,19,20,38,54,46,49,29
"X2013.Mar",50,82,26,28,12,39,30,31,46,52,68,48
"X2013.Abr",57,98,33,25,20,27,28,23,49,53,52,52
"X2013.Mai",80,137,56,18,19,33,37,42,44,41,71,65
"X2013.Jun",147,217,69,28,21,39,41,52,93,92,75,90
"X2013.Jul",127,206,69,29,23,31,42,45,68,72,92,92
"X2013.Ago",109,199,64,30,29,33,48,32,57,76,70,60
"X2013.Set",128,407,140,53,21,42,25,36,34,46,51,59
"X2013.Out",178,527,169,55,36,44,45,29,48,45,49,41
"X2013.Nov",179,444,126,57,28,35,29,40,42,34,43,50
"X2013.Dez",133,409,110,37,21,31,19,31,35,38,39,46
"X2014.Jan",79,216,83,47,20,23,27,34,36,43,36,41
"X2014.Fev",36,72,40,26,7,28,29,23,31,37,36,51
"X2014.Mar",25,60,41,27,10,18,34,29,28,38,37,35
"X2014.Abr",44,78,40,31,17,33,17,25,41,45,44,47
"X2014.Mai",61,84,58,37,20,31,30,32,40,42,42,44
"X2014.Jun",84,124,43,18,21,29,21,30,30,39,47,41
"X2014.Jul",75,116,49,22,23,36,26,36,46,43,60,37
"X2014.Ago",64,127,55,31,14,16,31,30,38,52,65,59
"X2014.Set",84,205,76,44,28,29,33,37,47,57,63,46
"X2014.Out",96,278,124,45,22,26,38,26,42,43,50,58
"X2014.Nov",89,216,88,42,29,27,27,24,34,40,42,50
"X2014.Dez",77,220,81,40,20,25,31,31,24,32,56,38
"X2015.Jan",53,103,55,23,13,29,26,32,45,51,47,51
"X2015.Fev",21,43,19,18,13,20,21,28,32,33,50,41
"X2015.Mar",37,60,33,15,8,28,29,24,43,47,47,58
"X2015.Abr",48,71,14,15,15,18,26,28,37,47,64,52
"X2015.Mai",52,44,42,19,13,22,23,28,45,38,54,60
"X2015.Jun",33,75,36,17,14,26,29,30,37,61,53,82
"X2015.Jul",60,67,58,20,16,29,23,36,42,53,66,57
"X2015.Ago",49,94,50,27,18,25,26,29,31,50,66,55
"X2015.Set",69,122,65,34,24,28,23,31,45,53,47,50
"X2015.Out",75,120,83,36,12,40,24,27,53,46,54,49
"X2015.Nov",65,88,60,30,26,19,15,29,35,69,42,32
"X2015.Dez",48,86,39,21,11,28,28,37,38,56,48,47
